station_id,timestamp,session_id,voltage,current,power_kw,temperature_c,error_code,message,duration_sec,energy_kwh
STN_002,2024-02-17 08:20:13.048655,SES_003773,245.48,29.14,7.153,40.86,0,Pilot signal OK,236,0.4689
STN_008,2024-02-27 08:41:42.845904,SES_004618,246.1,33.84,8.328,32.41,0,Power delivery stable,291,0.6732
STN_007,2024-01-29 22:00:29.013417,SES_002291,236.55,29.08,6.879,46.9,0,Pilot signal OK,319,0.6096
STN_002,2024-02-08 11:19:43.589376,SES_003050,245.41,29.15,7.153,43.41,0,Charging complete,245,0.4868
STN_003,2024-02-07 13:26:44.052146,SES_002983,244.1,32.54,7.942,35.31,0,Vehicle handshake OK,297,0.6552
STN_007,2024-01-21 11:18:03.775374,SES_001654,235.31,27.92,6.569,47.16,0,Session started,320,0.5839
STN_009,2024-02-14 14:08:38.362268,SES_003586,237.74,29.99,7.13,35.58,0,Charging in progress,328,0.6496
STN_001,2024-01-18 17:16:36.717282,SES_001368,243.58,30.82,7.508,42.86,0,Session started,325,0.6778
STN_009,2024-02-27 11:41:53.565168,SES_004630,237.81,31.61,7.518,31.55,0,Power delivery stable,286,0.5973
STN_003,2024-01-30 06:04:22.939576,SES_002340,242.31,34.91,8.459,33.59,0,Pilot signal OK,323,0.759
STN_002,2024-01-06 19:38:10.691671,SES_000411,243.65,31.49,7.672,40.63,0,Session started,281,0.5988
STN_009,2024-01-28 10:19:42.340258,SES_002226,240.21,32.5,7.807,32.56,0,Session started,276,0.5985
STN_003,2024-01-31 19:01:49.086888,SES_002420,246.68,32.13,7.927,33.59,0,Charging complete,268,0.5901
STN_010,2024-01-11 21:59:34.107094,SES_000873,240.49,30.36,7.302,37.84,0,Charging complete,331,0.6714
STN_008,2024-01-02 19:57:56.501992,SES_000141,241.71,30.25,7.311,35.88,0,Charging in progress,317,0.6438
STN_007,2024-01-22 12:19:46.730313,SES_001730,238.65,27.83,6.642,42.3,0,Charging in progress,318,0.5867
STN_004,2024-02-20 19:28:23.653087,SES_004025,241.51,30.55,7.378,33.6,0,Vehicle handshake OK,274,0.5615
STN_006,2024-01-07 06:42:07.840326,SES_000527,241.67,30.14,7.283,41.59,0,Pilot signal OK,288,
STN_001,2024-01-07 22:00:30.244595,SES_000481,240.64,30.97,7.453,43.99,0,Power delivery stable,290,0.6004
STN_008,2024-01-24 06:45:31.469410,SES_001900,241.99,33.67,8.149,37.18,0,Charging in progress,254,0.575
STN_001,2024-02-27 11:50:55.114055,SES_004568,240.83,33.95,8.175,39.85,0,Vehicle handshake OK,312,0.7085
STN_007,2024-02-07 10:09:32.991658,SES_003016,239.01,28.55,6.824,41.71,0,Pilot signal OK,282,0.5345
STN_003,2024-02-01 18:07:24.433421,SES_002498,244.29,29.53,7.214,41.43,0,Charging in progress,300,0.6012
STN_004,2024-01-15 17:12:34.637043,SES_001148,241.33,30.43,7.344,42.79,0,Pilot signal OK,314,0.6406
STN_005,2024-02-21 13:49:01.699926,SES_004115,238.6,27.61,6.588,31.12,0,Power delivery stable,277,0.5069
STN_007,2024-01-31 17:22:36.036522,SES_002452,240.84,29.7,7.154,47.15,0,Session started,281,0.5584
STN_009,2024-02-01 18:25:38.409525,SES_002550,235.42,32.63,7.682,36.8,0,Pilot signal OK,267,0.5697
STN_005,2024-01-05 07:28:33.133349,SES_000354,242.72,29.04,7.048,31.24,0,Power delivery stable,286,0.5599
STN_010,2024-02-25 15:33:09.042345,SES_004474,239.25,31.64,7.569,35.9,0,Charging complete,302,0.635
STN_010,2024-01-27 08:03:26.328190,SES_002159,242.39,29.32,7.107,37.47,0,Pilot signal OK,295,0.5824
STN_005,2024-01-09 08:01:17.770214,SES_000677,236.77,27.87,6.599,33.07,0,Vehicle handshake OK,281,0.5151
STN_004,2024-02-18 06:40:19.004709,SES_003866,244.2,33.16,8.097,40.02,0,Power delivery stable,367,0.8254
STN_003,2024-01-28 19:25:15.601270,SES_002182,241.41,33.62,8.117,33.59,0,Session started,267,0.602
STN_009,2024-01-11 11:07:59.938327,SES_000867,237.47,32.98,7.832,35.38,0,Charging complete,281,0.6113
STN_008,2024-02-16 14:37:15.749103,SES_003738,239.11,31.29,7.482,35.47,0,Charging in progress,305,0.6339
STN_001,2024-02-28 16:33:17.288151,SES_004648,243.94,32.16,7.844,44.56,0,Session started,256,0.5578
STN_010,2024-02-26 19:08:49.739973,SES_004559,240.14,29.19,7.009,39.22,0,Power delivery stable,308,0.5997
STN_003,2024-02-08 17:43:07.364161,SES_003059,243.41,35.4,8.617,43.22,0,Vehicle handshake OK,324,0.7755
STN_009,2024-02-29 21:46:59.029883,SES_004790,,33.26,7.96,37.06,0,Power delivery stable,294,0.6501
STN_009,2024-02-05 17:58:27.106253,SES_002870,238.65,32.85,7.839,35.8,0,Power delivery stable,214,0.466
STN_003,2024-01-07 10:39:14.672577,SES_000501,243.5,34.72,8.454,33.59,0,Vehicle handshake OK,261,0.6129
STN_003,2024-01-04 15:02:28.163503,SES_000257,245.25,33.02,8.098,,0,Vehicle handshake OK,310,0.6973
STN_007,2024-01-14 10:05:03.221261,SES_001093,237.04,26.01,6.165,39.4,0,Vehicle handshake OK,321,0.5497
STN_002,2024-01-23 11:29:12.148350,SES_001772,240.75,32.3,7.776,42.75,0,Power delivery stable,330,0.7128
STN_010,2024-02-19 18:40:34.641279,SES_003998,240.03,31.02,7.446,34.12,0,Power delivery stable,332,0.6867
STN_003,2024-01-09 07:29:15.060930,SES_000659,244.7,33.01,8.077,35.16,0,Session started,334,0.7494
STN_006,2024-02-11 16:53:56.934331,SES_003322,240.84,28.25,6.803,39.58,0,Charging complete,282,0.5329
STN_008,2024-02-19 15:27:00.378643,SES_003982,240.16,30.75,7.384,32.26,0,Pilot signal OK,258,
STN_008,2024-02-07 13:58:33.784182,SES_003017,240.9,32.65,7.866,33.51,0,Charging complete,264,0.5768
STN_004,2024-01-19 20:58:50.459042,SES_001471,240.25,32.43,7.792,38.24,0,Charging in progress,233,0.5043
STN_002,2024-01-31 18:47:05.579381,SES_002411,244.87,33.52,8.208,42.4,0,Charging in progress,301,0.6863
STN_010,2024-01-14 19:50:16.263346,SES_001118,238.14,31.3,7.453,38.02,0,Session started,271,0.561
STN_004,2024-02-13 10:42:30.626951,SES_003470,242.02,29.89,7.233,36.69,0,Pilot signal OK,286,0.5746
STN_010,2024-01-29 10:27:30.757671,SES_002313,243.9,30.41,7.417,36.92,0,Session started,303,0.6243
STN_004,2024-01-20 18:45:02.050269,SES_001550,240.87,29.72,7.16,35.09,0,Power delivery stable,300,0.5967
STN_009,2024-01-21 07:24:56.956063,SES_001667,237.22,30.88,7.325,36.03,0,Charging complete,305,
STN_006,2024-01-31 13:29:26.415765,SES_002445,237.43,28.36,6.735,39.15,0,Vehicle handshake OK,298,0.5575
STN_009,2024-02-10 18:20:18.508732,SES_003271,242.36,32.93,7.981,31.55,0,Session started,304,0.674
STN_003,2024-02-02 16:00:28.127253,SES_002584,241.27,33.64,8.117,35.22,0,Session started,303,
STN_009,2024-01-23 06:45:16.094347,SES_001832,237.67,29.3,6.963,34.73,0,Charging complete,271,0.5242
STN_007,2024-01-23 08:40:19.032551,SES_001815,239.22,30.16,7.214,39.4,0,Charging complete,311,0.6232
STN_010,2024-01-20 20:19:54.021748,SES_001598,240.12,29.58,7.102,38.08,0,Session started,304,0.5997
STN_009,2024-01-26 19:44:28.109126,SES_002072,236.84,32.38,7.669,33.5,0,Vehicle handshake OK,271,0.5773
STN_006,2024-01-31 06:32:20.494809,SES_002441,239.16,27.99,6.694,39.39,0,Charging in progress,318,0.5913
STN_005,2024-02-28 22:09:36.269028,SES_004679,241.98,30.47,7.372,38.08,0,Power delivery stable,284,0.5816
STN_003,2024-02-03 09:20:53.401738,SES_002659,245.27,33.8,8.29,40.93,0,Pilot signal OK,281,0.6471
STN_008,2024-02-02 11:15:55.611509,SES_002622,242.33,32.04,7.765,32.21,0,Session started,355,0.7657
STN_006,2024-02-11 22:09:36.294040,SES_003324,236.51,33.28,7.871,38.48,0,Pilot signal OK,305,0.6668
STN_008,2024-02-28 13:19:14.375376,SES_004702,240.53,34.52,8.304,32.39,0,Pilot signal OK,311,0.7174
STN_001,2024-02-01 21:39:32.372032,SES_002486,242.31,33.82,8.194,36.94,0,Session started,247,0.5622
STN_009,2024-01-13 11:06:25.009650,SES_001032,234.71,31.13,7.307,34.88,0,Vehicle handshake OK,305,0.6191
STN_007,2024-02-13 21:34:14.808293,SES_003491,236.06,29.31,,42.84,0,Session started,258,
STN_001,2024-02-29 17:44:28.332067,SES_004728,242.39,29.12,7.059,38.82,0,Vehicle handshake OK,300,0.5882
STN_002,2024-01-16 13:55:22.159730,SES_001210,244.61,33.31,8.147,38.2,0,Pilot signal OK,272,0.6156
STN_008,2024-02-05 11:13:36.004199,SES_002857,238.16,34.37,8.185,32.27,0,Power delivery stable,273,0.6207
STN_009,2024-01-28 09:30:36.888986,SES_002227,240.48,30.03,7.221,32.9,0,Pilot signal OK,284,0.5697
STN_006,2024-01-12 20:55:54.789898,SES_000923,237.51,30.64,7.278,40.94,0,Session started,317,0.6409
STN_008,2024-02-24 18:33:19.763473,SES_004378,235.99,32.63,7.699,39.7,0,Charging complete,250,0.5347
STN_009,2024-02-11 18:44:19.416610,SES_003347,240.09,32.86,7.89,33.72,0,Charging complete,370,0.8109
STN_002,2024-01-10 19:10:46.886278,SES_000736,247.2,34.07,8.423,39.17,0,Vehicle handshake OK,268,0.627
STN_006,2024-02-20 12:46:13.871783,SES_004045,236.52,29.83,7.056,43.92,0,Vehicle handshake OK,300,0.588
STN_009,2024-01-29 16:34:33.711526,SES_002308,239.81,32.27,7.739,40.76,0,Power delivery stable,302,0.6492
STN_001,2024-02-12 19:01:25.483588,SES_003367,244.57,30.71,7.511,39.69,0,Vehicle handshake OK,317,0.6614
STN_008,2024-02-13 10:16:53.940271,SES_003497,243.62,34.45,8.393,33.87,0,Session started,317,0.7391
STN_003,2024-02-03 06:56:53.169207,SES_002664,245.03,33.84,8.291,43.23,0,Pilot signal OK,308,0.7093
STN_006,2024-02-22 16:57:12.170053,SES_004207,239.34,29.96,7.17,41.08,0,Session started,281,0.5597
STN_005,2024-02-23 16:22:36.850831,SES_004277,240.98,26.19,6.31,29.83,0,Vehicle handshake OK,271,0.475
STN_006,2024-01-31 13:34:26.415765,SES_002445,238.7,29.84,7.122,43.26,0,Charging complete,301,0.5955
STN_007,2024-02-27 12:04:46.905926,SES_004611,231.97,29.6,6.866,44.23,0,Charging complete,320,0.6103
STN_004,2024-01-03 09:59:01.069392,SES_000188,241.48,28.55,6.893,33.6,0,Session started,298,0.5706
STN_005,2024-02-26 21:13:42.049699,SES_004520,241.62,29.85,7.212,29.83,0,Session started,251,0.5028
STN_008,2024-01-13 14:57:23.104725,SES_001023,238.65,33.21,7.925,32.12,0,Pilot signal OK,310,0.6824
STN_003,2024-01-10 13:14:36.145879,SES_000743,244.09,33.76,8.24,37.05,0,Charging in progress,322,0.737
STN_003,2024-02-11 17:54:53.124760,SES_003303,243.77,34.25,8.349,,0,Power delivery stable,302,0.7004
STN_005,2024-02-28 21:20:20.093687,SES_004675,242.14,28.63,6.932,33.64,0,Vehicle handshake OK,249,0.4795
STN_009,2024-02-25 16:42:27.170328,SES_004472,240.7,32.13,7.735,33.7,0,Vehicle handshake OK,310,0.6661
STN_006,2024-02-23 14:26:54.759708,SES_004285,234.8,29.02,6.814,38.62,0,Charging in progress,317,0.6
STN_005,2024-01-30 15:06:50.222677,SES_002354,240.27,27.04,6.496,34.48,0,Session started,306,0.5522
STN_005,2024-01-25 11:14:33.874326,SES_001955,241.37,30.96,7.474,29.83,0,Charging in progress,303,0.6291
STN_006,2024-02-29 13:46:16.351779,SES_004764,238.99,29.89,7.143,37.19,0,Vehicle handshake OK,306,0.6072
STN_009,2024-02-07 11:28:34.504700,SES_003028,236.98,32.6,7.725,34.1,0,Pilot signal OK,289,0.6201
STN_009,2024-02-22 13:13:35.312895,SES_004226,239.34,31.63,7.57,36.2,0,Pilot signal OK,254,0.5341
STN_008,2024-02-13 17:52:07.733238,SES_003498,239.02,31.47,7.521,36.94,0,Vehicle handshake OK,331,0.6915
STN_009,2024-01-23 14:39:24.284964,SES_001829,236.42,32.22,7.618,31.55,0,Vehicle handshake OK,332,0.7025
STN_006,2024-01-30 21:46:31.797464,SES_002362,238.87,31.02,7.41,39.63,0,Charging in progress,278,0.5722
STN_009,2024-01-03 20:35:50.367811,SES_000232,239.32,30.93,7.402,35.85,0,Vehicle handshake OK,305,0.6271
STN_005,2024-02-27 07:05:17.852433,SES_004594,240.27,29.42,7.068,35.99,0,Vehicle handshake OK,337,0.6616
STN_002,2024-02-28 10:54:05.308614,SES_004654,242.11,32.01,7.75,41.36,0,Charging in progress,310,0.6674
STN_003,2024-02-01 21:02:43.141143,SES_002500,244.61,32.75,8.012,41.62,0,Power delivery stable,317,0.7055
STN_006,2024-01-06 07:15:26.919359,SES_000441,236.77,32.26,7.637,37.35,0,Vehicle handshake OK,345,0.7319
STN_004,2024-01-25 07:39:31.992036,SES_001947,243.5,31.11,7.574,40.46,0,Session started,275,0.5786
STN_008,2024-01-16 12:18:48.934742,SES_001257,237.37,32.49,7.713,35.61,0,Power delivery stable,285,0.6106
STN_003,2024-02-04 07:20:15.340929,SES_002739,243.05,35.15,8.544,39.9,0,Power delivery stable,285,0.6764
STN_005,2024-01-06 12:33:14.598852,SES_000434,241.05,28.37,,35.57,0,Charging complete,334,0.6344
STN_008,2024-02-28 12:16:49.750126,SES_004700,237.8,33.03,7.855,30.73,0,Pilot signal OK,330,0.72
STN_003,2024-02-09 09:30:23.358293,SES_003137,244.34,31.56,7.71,38.58,0,Pilot signal OK,309,0.6618
STN_004,2024-01-22 15:28:07.576368,SES_001707,237.98,28.96,6.891,37.77,0,Charging in progress,327,0.6259
STN_002,2024-02-21 17:23:20.149691,SES_004093,243.2,31.39,7.633,38.54,0,Charging in progress,277,0.5873
STN_010,2024-02-26 09:10:15.980723,SES_004553,240.46,0.29,0.0,37.23,0,Charging in progress,255,
STN_009,2024-01-14 12:57:00.569812,SES_001108,233.36,32.07,7.484,36.91,0,Pilot signal OK,262,0.5447
STN_001,2024-02-04 08:24:44.216945,SES_002727,239.82,31.1,7.458,45.39,0,Power delivery stable,325,0.6733
STN_006,2024-01-29 07:33:10.149209,SES_002282,236.16,31.16,7.358,37.92,0,Charging in progress,295,0.6029
STN_007,2024-01-18 13:19:06.755893,SES_001414,237.41,28.98,6.88,47.85,0,Vehicle handshake OK,296,0.5657
STN_009,2024-01-07 07:02:45.573580,SES_000548,236.28,32.53,7.685,34.81,0,Charging in progress,315,0.6724
STN_008,2024-01-06 09:15:02.515800,SES_000458,240.26,32.36,7.776,34.47,0,Pilot signal OK,313,0.6761
STN_008,2024-01-25 21:07:57.053745,SES_001978,239.67,30.71,7.361,31.94,0,Session started,337,0.6891
STN_002,2024-02-06 07:17:04.977918,SES_002889,243.63,31.08,7.572,34.3,0,Session started,332,0.6983
STN_010,2024-02-05 07:20:36.270023,SES_002873,242.22,33.62,8.144,40.42,0,Charging complete,307,
STN_008,2024-02-28 12:55:02.318454,SES_004701,240.46,35.28,8.484,39.96,0,Charging in progress,270,0.6363
STN_005,2024-02-11 11:01:25.939613,SES_003315,241.91,27.72,6.705,32.23,0,Session started,262,0.488
STN_004,2024-02-01 16:48:45.953438,SES_002511,239.71,30.61,7.338,38.12,0,Charging in progress,303,0.6176
STN_002,2024-02-08 14:48:47.153909,SES_003055,244.35,32.32,7.898,36.86,0,Vehicle handshake OK,278,0.6099
STN_003,2024-01-17 22:01:55.646786,SES_001299,244.14,31.08,7.587,40.02,0,Vehicle handshake OK,294,0.6196
STN_006,2024-01-24 20:57:48.292419,SES_001882,237.61,29.65,7.046,37.79,0,Session started,295,0.5774
STN_003,2024-02-02 14:33:27.195560,SES_002582,245.38,34.09,8.366,38.23,0,Charging complete,265,0.6158
STN_005,2024-02-19 07:18:05.924670,SES_003953,238.93,28.47,6.802,38.75,0,Session started,271,0.512
STN_004,2024-02-26 18:22:26.802000,SES_004507,241.44,31.52,7.609,33.6,0,Session started,329,0.6954
STN_009,2024-02-06 21:53:42.344451,SES_002948,233.93,30.17,7.057,38.27,0,Session started,276,0.541
STN_007,2024-02-20 16:32:13.202372,SES_004054,236.44,55.68,13.165,43.05,201,Current draw exceeded threshold,311,0.5875
STN_003,2024-02-14 12:18:22.213759,SES_003544,244.94,36.31,8.894,38.06,0,Vehicle handshake OK,295,0.7288
STN_009,2024-01-25 13:52:16.960028,SES_001990,237.77,31.28,7.438,33.13,0,Power delivery stable,311,0.6426
STN_008,2024-02-03 08:49:34.321605,SES_002698,238.57,33.4,7.967,35.34,0,Charging in progress,284,0.6285
STN_010,2024-01-30 17:49:44.422179,SES_002393,241.17,32.35,7.801,39.65,0,Session started,279,0.6046
STN_001,2024-01-22 07:20:43.607388,SES_001688,239.66,30.96,7.421,41.76,0,Vehicle handshake OK,267,0.5504
STN_001,2024-01-16 11:43:29.079719,SES_001205,240.05,33.46,8.033,36.94,0,Charging in progress,270,0.6025
STN_001,2024-02-24 13:39:36.216551,SES_004322,243.38,33.35,8.117,40.31,0,Power delivery stable,281,0.6336
STN_007,2024-02-08 19:59:04.000008,SES_003092,236.48,28.06,6.634,49.47,0,Vehicle handshake OK,293,0.5399
STN_006,2024-02-17 13:28:46.311993,SES_003804,235.87,32.22,7.6,38.34,0,Power delivery stable,289,0.6101
STN_004,2024-01-24 09:01:32.501563,SES_001868,245.08,32.34,7.925,40.79,0,Session started,308,0.678
